# ninbin 95 99 99.9
2 1.34448192013 1.40013036053 1.4127596675
3 1.4026998019 1.58401836269 1.68586208242
4 1.40694926037 1.64829784556 1.83208923893
5 1.39268605705 1.65413432884 1.90888752988
6 1.38102260601 1.65291584994 1.92663726699
7 1.3734705816 1.64280461678 1.95151694363
8 1.36666902674 1.63809437834 1.95862691514
16 1.31267909016 1.53187358239 1.82989367808
32 1.2504110696 1.42535063817 1.67712720669
64 1.19367993434 1.31449986584 1.48376423514
128 1.14211742259 1.22386078231 1.33788179975
256 1.10213039317 1.15673388295 1.22920735354
512 1.07315481445 1.1102776148 1.15470371322
1024 1.0519551353 1.07669140591 1.10424039052
2048 1.03653718457 1.05326926082 1.07267990827
4096 1.02586316726 1.03736128601 1.05010681759
8192 1.01828205147 1.02634772102 1.03539316789
16384 1.0128421021 1.01846146089 1.02497194967
